label,source_path,relative_path,split
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/6_10653.wav,natural sound/6_10653.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/7_10742.wav,logging/7_10742.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/9_10924.wav,natural sound/9_10924.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/1_10156.wav,fire/1_10156.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/14_11408.wav,poaching/14_11408.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/25_12506.wav,natural sound/25_12506.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/13_11321.wav,logging/13_11321.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/3-118658-B-41.wav,logging/3-118658-B-41.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/24_12410.wav,natural sound/24_12410.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/1-7974-A-49.wav,logging/1-7974-A-49.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/3_10339.wav,natural sound/3_10339.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/4_10472.wav,natural sound/4_10472.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/8_10868.wav,natural sound/8_10868.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C0358CA_6c9bdd198-709e-4c25-8114-cfcfaf6edfa5c15ce22b-2339-4ba4-963a-bfe9345c3e8b8c9f3824-73fc-460c-a89a-5a264e7ad2a9.WAV,poaching/5C0358CA_6c9bdd198-709e-4c25-8114-cfcfaf6edfa5c15ce22b-2339-4ba4-963a-bfe9345c3e8b8c9f3824-73fc-460c-a89a-5a264e7ad2a9.WAV,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/1_10122.wav,fire/1_10122.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/9_10945.wav,natural sound/9_10945.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/17_11702.wav,natural sound/if_necessary/17_11702.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C297360_291b7cb8c1-8278-43e8-a20a-7d1511c95e3a749ce161-9596-4ac0-9b27-da7c853c532ba193757f-4844-4269-b6cf-18df41dfd81f.WAV,poaching/5C297360_291b7cb8c1-8278-43e8-a20a-7d1511c95e3a749ce161-9596-4ac0-9b27-da7c853c532ba193757f-4844-4269-b6cf-18df41dfd81f.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/17_11718.wav,natural sound/if_necessary/17_11718.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/videoplayback_53.wav,fire/videoplayback_53.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/19_11967.wav,natural sound/if_necessary/19_11967.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/11_11141.wav,logging/11_11141.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/2_10217.wav,natural sound/2_10217.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5B5F2559_86e0c2723-c758-4be8-ab05-6dc9c633636edabab6da-2c6d-422d-bc0e-83a720223bae6e033f8a-4d6d-47d6-8f89-be81820eca93.WAV,poaching/5B5F2559_86e0c2723-c758-4be8-ab05-6dc9c633636edabab6da-2c6d-422d-bc0e-83a720223bae6e033f8a-4d6d-47d6-8f89-be81820eca93.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/22_12256.wav,natural sound/22_12256.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/5_10553.wav,natural sound/5_10553.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/16_11604.wav,logging/16_11604.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/6_10668.wav,natural sound/6_10668.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/3_10338.wav,natural sound/3_10338.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/19_11947.wav,natural sound/if_necessary/19_11947.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/5-189212-A-12.wav,fire/5-189212-A-12.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/19_11925.wav,natural sound/if_necessary/19_11925.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/23_12318.wav,natural sound/23_12318.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/27_12755.wav,natural sound/27_12755.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/New folder/winchester-m14_014_SA_059B_S02.wav,poaching/New folder/winchester-m14_014_SA_059B_S02.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C035CD3_5789fad98-6b17-49bc-aaa3-8ba71e2159621c5bec48-bb50-4faf-9822-b0f05effb5a89fdd5674-83e8-430e-9e07-59a5f918076e.WAV,poaching/5C035CD3_5789fad98-6b17-49bc-aaa3-8ba71e2159621c5bec48-bb50-4faf-9822-b0f05effb5a89fdd5674-83e8-430e-9e07-59a5f918076e.WAV,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5BE218E5_49041fd984-e637-4d3b-b8ef-14c91587f3a32224827b-676f-4267-bb2b-f6f2ca155eaa3cfd9a77-4aa2-4107-928b-cc8863f39579.WAV,poaching/5BE218E5_49041fd984-e637-4d3b-b8ef-14c91587f3a32224827b-676f-4267-bb2b-f6f2ca155eaa3cfd9a77-4aa2-4107-928b-cc8863f39579.WAV,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/13_11309.wav,logging/13_11309.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/New folder/glock_016_85a24c95-5a49-469d-a5a1-d8ca7554b663_v0.wav,poaching/New folder/glock_016_85a24c95-5a49-469d-a5a1-d8ca7554b663_v0.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/19_11932.wav,natural sound/if_necessary/19_11932.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/14_11415.wav,poaching/14_11415.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/26_12636.wav,natural sound/26_12636.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/1_10135.wav,fire/1_10135.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/4_10469.wav,natural sound/4_10469.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/6_10618.wav,natural sound/6_10618.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/6_10649.wav,natural sound/6_10649.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/8_10801.wav,natural sound/8_10801.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/4_10454.wav,natural sound/4_10454.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/6_10666.wav,natural sound/6_10666.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/18_11837.wav,natural sound/if_necessary/18_11837.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/9_10946.wav,natural sound/9_10946.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C53AFBE_4676387b80-ccf9-44be-a959-602fc5966564349e2ffa-bb38-4804-9782-e1216f0eb1517576e4b7-bd52-47cb-90c0-e95d88566f35.WAV,poaching/5C53AFBE_4676387b80-ccf9-44be-a959-602fc5966564349e2ffa-bb38-4804-9782-e1216f0eb1517576e4b7-bd52-47cb-90c0-e95d88566f35.WAV,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/5-253101-C-49.wav,logging/5-253101-C-49.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/8_10830.wav,natural sound/8_10830.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/5_10519.wav,natural sound/5_10519.wav,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_10.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_10.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5BCB23E6_45e4c6aacc-18ce-4d71-8cac-574d7fc0275cdbd089de-540a-490c-899f-67d0adf57398663169ac-349f-4804-8ee0-eadb52bfc2a5.WAV,poaching/5BCB23E6_45e4c6aacc-18ce-4d71-8cac-574d7fc0275cdbd089de-540a-490c-899f-67d0adf57398663169ac-349f-4804-8ee0-eadb52bfc2a5.WAV,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_66.wav,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_66.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/3_10367.wav,natural sound/3_10367.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/17_11773.wav,natural sound/if_necessary/17_11773.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/13_11368.wav,logging/13_11368.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/58FBD400c7d4db5f-ba86-4743-9d77-b19eae623969.WAV,poaching/58FBD400c7d4db5f-ba86-4743-9d77-b19eae623969.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/23_12301.wav,natural sound/23_12301.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/if_necessary/20_12047.wav,natural sound/if_necessary/20_12047.wav,train
logging,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/logging/13_11327.wav,logging/13_11327.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/New folder/m16_010_SA_077B_S03.wav,poaching/New folder/m16_010_SA_077B_S03.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/58FBD3C141285ab8-17b8-43c4-addc-a539a6652da2.WAV,poaching/58FBD3C141285ab8-17b8-43c4-addc-a539a6652da2.WAV,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5BE2166C_44e799fafa-9063-4f55-92c3-daca7151a272a3e14c63-949b-408e-a602-449a9bf7f6f3f3945a09-f42e-409e-8c77-7d1bfcf6f178.WAV,poaching/5BE2166C_44e799fafa-9063-4f55-92c3-daca7151a272a3e14c63-949b-408e-a602-449a9bf7f6f3f3945a09-f42e-409e-8c77-7d1bfcf6f178.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/26_12606.wav,natural sound/26_12606.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/New folder/sig-p225_002_SA_210A_S06.wav,poaching/New folder/sig-p225_002_SA_210A_S06.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/27_12719.wav,natural sound/27_12719.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/24_12460.wav,natural sound/24_12460.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5BE21952_206a4af8ab-8d97-41e3-98e7-80206d425ab0cb91aaa4-9f47-44f9-a554-8763a0b525a13d7e2489-a54b-4abf-9f60-8b0301a1b8d2.WAV,poaching/5BE21952_206a4af8ab-8d97-41e3-98e7-80206d425ab0cb91aaa4-9f47-44f9-a554-8763a0b525a13d7e2489-a54b-4abf-9f60-8b0301a1b8d2.WAV,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C035929_46ca40eaa-fb29-4392-9293-c00ecad7a30120f069b7-67a9-451e-9938-71940988c674d6936046-c52f-4116-9af3-4c37240f455b.WAV,poaching/5C035929_46ca40eaa-fb29-4392-9293-c00ecad7a30120f069b7-67a9-451e-9938-71940988c674d6936046-c52f-4116-9af3-4c37240f455b.WAV,train
fire,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/fire/3-104958-A-12.wav,fire/3-104958-A-12.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/26_12616.wav,natural sound/26_12616.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/3_10342.wav,natural sound/3_10342.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C243291_555bddfabc-6911-449b-b5dd-db73c1b630fd6053057a-c916-4c70-b810-a0147e1deae1d3c856af-4bdb-4999-8a8b-ec6ea44f0b0a.WAV,poaching/5C243291_555bddfabc-6911-449b-b5dd-db73c1b630fd6053057a-c916-4c70-b810-a0147e1deae1d3c856af-4bdb-4999-8a8b-ec6ea44f0b0a.WAV,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/4_10450.wav,natural sound/4_10450.wav,train
natural sound,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/natural sound/5_10503.wav,natural sound/5_10503.wav,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5BCE4D40_26b14fbede-5ef1-4dc3-8820-7cca643a44112a70b918-a624-4562-831e-14a59b88b5c0a1511357-1f8f-4884-bb8d-a3b76e72c99a.WAV,poaching/5BCE4D40_26b14fbede-5ef1-4dc3-8820-7cca643a44112a70b918-a624-4562-831e-14a59b88b5c0a1511357-1f8f-4884-bb8d-a3b76e72c99a.WAV,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/5C035C73_82aea3a4a-be0a-44e9-868d-6a595aed714299cf0aab-63e6-4b43-803c-6374128828d3435f4aa1-fe6a-47f2-8c2f-888cc9ef0792.WAV,poaching/5C035C73_82aea3a4a-be0a-44e9-868d-6a595aed714299cf0aab-63e6-4b43-803c-6374128828d3435f4aa1-fe6a-47f2-8c2f-888cc9ef0792.WAV,train
poaching,/Users/guidegiegg/งาน/โปรเจคเล็กๆ/PrePair_Sound/forest_sound_dataset/poaching/New folder/m16_022_SA_097A_S04.wav,poaching/New folder/m16_022_SA_097A_S04.wav,train
