split,label,source_relative_path,segment_index,processed_path,sample_rate,duration_sec
train,fire,fire/videoplayback_63.wav,5,processed/forest_sound_16k_5s/train/fire/videoplayback_63__seg05.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,0,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_05__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,1,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_05__seg01.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,2,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_05__seg02.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,3,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_05__seg03.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,4,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_05__seg04.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_05.wav,5,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_05__seg05.wav,16000,5
train,logging,logging/10_11052.wav,0,processed/forest_sound_16k_5s/train/logging/10_11052__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/20_12036.wav,0,processed/forest_sound_16k_5s/train/natural sound/20_12036__seg00.wav,16000,5
train,natural sound,natural sound/5_10533.wav,0,processed/forest_sound_16k_5s/train/natural sound/5_10533__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,0,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_55__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,1,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_55__seg01.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,2,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_55__seg02.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,3,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_55__seg03.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,4,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_55__seg04.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_55.wav,5,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_55__seg05.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,0,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_45__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,1,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_45__seg01.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,2,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_45__seg02.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,3,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_45__seg03.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,4,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_45__seg04.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45.wav,5,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_1_45__seg05.wav,16000,5
train,logging,logging/11_11168.wav,0,processed/forest_sound_16k_5s/train/logging/11_11168__seg00.wav,16000,5
train,logging,logging/13_11335.wav,0,processed/forest_sound_16k_5s/train/logging/13_11335__seg00.wav,16000,5
train,logging,logging/11_11121.wav,0,processed/forest_sound_16k_5s/train/logging/11_11121__seg00.wav,16000,5
train,natural sound,natural sound/5_10510.wav,0,processed/forest_sound_16k_5s/train/natural sound/5_10510__seg00.wav,16000,5
train,natural sound,natural sound/26_12657.wav,0,processed/forest_sound_16k_5s/train/natural sound/26_12657__seg00.wav,16000,5
train,natural sound,natural sound/24_12433.wav,0,processed/forest_sound_16k_5s/train/natural sound/24_12433__seg00.wav,16000,5
train,logging,logging/11_11118.wav,0,processed/forest_sound_16k_5s/train/logging/11_11118__seg00.wav,16000,5
train,natural sound,natural sound/24_12440.wav,0,processed/forest_sound_16k_5s/train/natural sound/24_12440__seg00.wav,16000,5
train,logging,logging/11_11111.wav,0,processed/forest_sound_16k_5s/train/logging/11_11111__seg00.wav,16000,5
train,natural sound,natural sound/5_10548.wav,0,processed/forest_sound_16k_5s/train/natural sound/5_10548__seg00.wav,16000,5
train,poaching,poaching/New folder/sig-p225_001_SA_150A_S06.wav,0,processed/forest_sound_16k_5s/train/poaching/sig-p225_001_SA_150A_S06__seg00.wav,16000,5
train,natural sound,natural sound/25_12570.wav,0,processed/forest_sound_16k_5s/train/natural sound/25_12570__seg00.wav,16000,5
train,poaching,poaching/5C26AB1E_57d8edeb21-3140-4b6d-b078-28ec1f0ce70714f8e251-4818-4f03-bd03-c631fa3f9ec9f600966f-4a1f-43f7-a09d-701cdcc01ca0.WAV,0,processed/forest_sound_16k_5s/train/poaching/5C26AB1E_57d8edeb21-3140-4b6d-b078-28ec1f0ce70714f8e251-4818-4f03-bd03-c631fa3f9ec9f600966f-4a1f-43f7-a09d-701cdcc01ca0__seg00.wav,16000,5
train,natural sound,natural sound/26_12663.wav,0,processed/forest_sound_16k_5s/train/natural sound/26_12663__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,0,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_64__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,1,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_64__seg01.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,2,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_64__seg02.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,3,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_64__seg03.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,4,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_64__seg04.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_64.wav,5,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_64__seg05.wav,16000,5
train,logging,logging/11_11170.wav,0,processed/forest_sound_16k_5s/train/logging/11_11170__seg00.wav,16000,5
train,natural sound,natural sound/2_10230.wav,0,processed/forest_sound_16k_5s/train/natural sound/2_10230__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,0,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_53__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,1,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_53__seg01.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,2,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_53__seg02.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,3,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_53__seg03.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,4,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_53__seg04.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53.wav,5,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_53__seg05.wav,16000,5
train,poaching,poaching/5C5CF304_25b8b54e15-5bf8-45a0-9b6c-2fc52b113a760992a932-a41a-4ad1-86ca-f4b0e48cfca95de5786f-799d-4dd2-807b-db37b49800d9.WAV,0,processed/forest_sound_16k_5s/train/poaching/5C5CF304_25b8b54e15-5bf8-45a0-9b6c-2fc52b113a760992a932-a41a-4ad1-86ca-f4b0e48cfca95de5786f-799d-4dd2-807b-db37b49800d9__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/19_11919.wav,0,processed/forest_sound_16k_5s/train/natural sound/19_11919__seg00.wav,16000,5
train,fire,fire/5-215658-B-12.wav,0,processed/forest_sound_16k_5s/train/fire/5-215658-B-12__seg00.wav,16000,5
train,natural sound,natural sound/21_12127.wav,0,processed/forest_sound_16k_5s/train/natural sound/21_12127__seg00.wav,16000,5
train,natural sound,natural sound/25_12519.wav,0,processed/forest_sound_16k_5s/train/natural sound/25_12519__seg00.wav,16000,5
train,natural sound,natural sound/6_10653.wav,0,processed/forest_sound_16k_5s/train/natural sound/6_10653__seg00.wav,16000,5
train,logging,logging/7_10742.wav,0,processed/forest_sound_16k_5s/train/logging/7_10742__seg00.wav,16000,5
train,natural sound,natural sound/9_10924.wav,0,processed/forest_sound_16k_5s/train/natural sound/9_10924__seg00.wav,16000,5
train,fire,fire/1_10156.wav,0,processed/forest_sound_16k_5s/train/fire/1_10156__seg00.wav,16000,5
train,poaching,poaching/14_11408.wav,0,processed/forest_sound_16k_5s/train/poaching/14_11408__seg00.wav,16000,5
train,natural sound,natural sound/25_12506.wav,0,processed/forest_sound_16k_5s/train/natural sound/25_12506__seg00.wav,16000,5
train,logging,logging/13_11321.wav,0,processed/forest_sound_16k_5s/train/logging/13_11321__seg00.wav,16000,5
train,logging,logging/3-118658-B-41.wav,0,processed/forest_sound_16k_5s/train/logging/3-118658-B-41__seg00.wav,16000,5
train,natural sound,natural sound/24_12410.wav,0,processed/forest_sound_16k_5s/train/natural sound/24_12410__seg00.wav,16000,5
train,logging,logging/1-7974-A-49.wav,0,processed/forest_sound_16k_5s/train/logging/1-7974-A-49__seg00.wav,16000,5
train,natural sound,natural sound/3_10339.wav,0,processed/forest_sound_16k_5s/train/natural sound/3_10339__seg00.wav,16000,5
train,natural sound,natural sound/4_10472.wav,0,processed/forest_sound_16k_5s/train/natural sound/4_10472__seg00.wav,16000,5
train,natural sound,natural sound/8_10868.wav,0,processed/forest_sound_16k_5s/train/natural sound/8_10868__seg00.wav,16000,5
train,poaching,poaching/5C0358CA_6c9bdd198-709e-4c25-8114-cfcfaf6edfa5c15ce22b-2339-4ba4-963a-bfe9345c3e8b8c9f3824-73fc-460c-a89a-5a264e7ad2a9.WAV,0,processed/forest_sound_16k_5s/train/poaching/5C0358CA_6c9bdd198-709e-4c25-8114-cfcfaf6edfa5c15ce22b-2339-4ba4-963a-bfe9345c3e8b8c9f3824-73fc-460c-a89a-5a264e7ad2a9__seg00.wav,16000,5
train,fire,fire/1_10122.wav,0,processed/forest_sound_16k_5s/train/fire/1_10122__seg00.wav,16000,5
train,natural sound,natural sound/9_10945.wav,0,processed/forest_sound_16k_5s/train/natural sound/9_10945__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/17_11702.wav,0,processed/forest_sound_16k_5s/train/natural sound/17_11702__seg00.wav,16000,5
train,poaching,poaching/5C297360_291b7cb8c1-8278-43e8-a20a-7d1511c95e3a749ce161-9596-4ac0-9b27-da7c853c532ba193757f-4844-4269-b6cf-18df41dfd81f.WAV,0,processed/forest_sound_16k_5s/train/poaching/5C297360_291b7cb8c1-8278-43e8-a20a-7d1511c95e3a749ce161-9596-4ac0-9b27-da7c853c532ba193757f-4844-4269-b6cf-18df41dfd81f__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/17_11718.wav,0,processed/forest_sound_16k_5s/train/natural sound/17_11718__seg00.wav,16000,5
train,fire,fire/videoplayback_53.wav,0,processed/forest_sound_16k_5s/train/fire/videoplayback_53__seg00.wav,16000,5
train,fire,fire/videoplayback_53.wav,1,processed/forest_sound_16k_5s/train/fire/videoplayback_53__seg01.wav,16000,5
train,fire,fire/videoplayback_53.wav,2,processed/forest_sound_16k_5s/train/fire/videoplayback_53__seg02.wav,16000,5
train,fire,fire/videoplayback_53.wav,3,processed/forest_sound_16k_5s/train/fire/videoplayback_53__seg03.wav,16000,5
train,fire,fire/videoplayback_53.wav,4,processed/forest_sound_16k_5s/train/fire/videoplayback_53__seg04.wav,16000,5
train,fire,fire/videoplayback_53.wav,5,processed/forest_sound_16k_5s/train/fire/videoplayback_53__seg05.wav,16000,5
train,natural sound,natural sound/if_necessary/19_11967.wav,0,processed/forest_sound_16k_5s/train/natural sound/19_11967__seg00.wav,16000,5
train,logging,logging/11_11141.wav,0,processed/forest_sound_16k_5s/train/logging/11_11141__seg00.wav,16000,5
train,natural sound,natural sound/2_10217.wav,0,processed/forest_sound_16k_5s/train/natural sound/2_10217__seg00.wav,16000,5
train,poaching,poaching/5B5F2559_86e0c2723-c758-4be8-ab05-6dc9c633636edabab6da-2c6d-422d-bc0e-83a720223bae6e033f8a-4d6d-47d6-8f89-be81820eca93.WAV,0,processed/forest_sound_16k_5s/train/poaching/5B5F2559_86e0c2723-c758-4be8-ab05-6dc9c633636edabab6da-2c6d-422d-bc0e-83a720223bae6e033f8a-4d6d-47d6-8f89-be81820eca93__seg00.wav,16000,5
train,natural sound,natural sound/22_12256.wav,0,processed/forest_sound_16k_5s/train/natural sound/22_12256__seg00.wav,16000,5
train,natural sound,natural sound/5_10553.wav,0,processed/forest_sound_16k_5s/train/natural sound/5_10553__seg00.wav,16000,5
train,logging,logging/16_11604.wav,0,processed/forest_sound_16k_5s/train/logging/16_11604__seg00.wav,16000,5
train,natural sound,natural sound/6_10668.wav,0,processed/forest_sound_16k_5s/train/natural sound/6_10668__seg00.wav,16000,5
train,natural sound,natural sound/3_10338.wav,0,processed/forest_sound_16k_5s/train/natural sound/3_10338__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/19_11947.wav,0,processed/forest_sound_16k_5s/train/natural sound/19_11947__seg00.wav,16000,5
train,fire,fire/5-189212-A-12.wav,0,processed/forest_sound_16k_5s/train/fire/5-189212-A-12__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/19_11925.wav,0,processed/forest_sound_16k_5s/train/natural sound/19_11925__seg00.wav,16000,5
train,natural sound,natural sound/23_12318.wav,0,processed/forest_sound_16k_5s/train/natural sound/23_12318__seg00.wav,16000,5
train,natural sound,natural sound/27_12755.wav,0,processed/forest_sound_16k_5s/train/natural sound/27_12755__seg00.wav,16000,5
train,poaching,poaching/New folder/winchester-m14_014_SA_059B_S02.wav,0,processed/forest_sound_16k_5s/train/poaching/winchester-m14_014_SA_059B_S02__seg00.wav,16000,5
train,poaching,poaching/5C035CD3_5789fad98-6b17-49bc-aaa3-8ba71e2159621c5bec48-bb50-4faf-9822-b0f05effb5a89fdd5674-83e8-430e-9e07-59a5f918076e.WAV,0,processed/forest_sound_16k_5s/train/poaching/5C035CD3_5789fad98-6b17-49bc-aaa3-8ba71e2159621c5bec48-bb50-4faf-9822-b0f05effb5a89fdd5674-83e8-430e-9e07-59a5f918076e__seg00.wav,16000,5
train,poaching,poaching/5BE218E5_49041fd984-e637-4d3b-b8ef-14c91587f3a32224827b-676f-4267-bb2b-f6f2ca155eaa3cfd9a77-4aa2-4107-928b-cc8863f39579.WAV,0,processed/forest_sound_16k_5s/train/poaching/5BE218E5_49041fd984-e637-4d3b-b8ef-14c91587f3a32224827b-676f-4267-bb2b-f6f2ca155eaa3cfd9a77-4aa2-4107-928b-cc8863f39579__seg00.wav,16000,5
train,logging,logging/13_11309.wav,0,processed/forest_sound_16k_5s/train/logging/13_11309__seg00.wav,16000,5
train,poaching,poaching/New folder/glock_016_85a24c95-5a49-469d-a5a1-d8ca7554b663_v0.wav,0,processed/forest_sound_16k_5s/train/poaching/glock_016_85a24c95-5a49-469d-a5a1-d8ca7554b663_v0__seg00.wav,16000,5
train,natural sound,natural sound/if_necessary/19_11932.wav,0,processed/forest_sound_16k_5s/train/natural sound/19_11932__seg00.wav,16000,5
train,poaching,poaching/14_11415.wav,0,processed/forest_sound_16k_5s/train/poaching/14_11415__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,0,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_67__seg00.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,1,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_67__seg01.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,2,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_67__seg02.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,3,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_67__seg03.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,4,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_67__seg04.wav,16000,5
train,fire,fire/y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67.wav,5,processed/forest_sound_16k_5s/train/fire/y2mate_com_-_DD_Ambience_Building_on_Fire_Blaze_Inferno_Wood_Cracking_Collapsing_Loud_Stressing_67__seg05.wav,16000,5
train,natural sound,natural sound/26_12636.wav,0,processed/forest_sound_16k_5s/train/natural sound/26_12636__seg00.wav,16000,5
train,fire,fire/1_10135.wav,0,processed/forest_sound_16k_5s/train/fire/1_10135__seg00.wav,16000,5
train,natural sound,natural sound/4_10469.wav,0,processed/forest_sound_16k_5s/train/natural sound/4_10469__seg00.wav,16000,5
train,natural sound,natural sound/6_10618.wav,0,processed/forest_sound_16k_5s/train/natural sound/6_10618__seg00.wav,16000,5
train,natural sound,natural sound/6_10649.wav,0,processed/forest_sound_16k_5s/train/natural sound/6_10649__seg00.wav,16000,5
train,natural sound,natural sound/8_10801.wav,0,processed/forest_sound_16k_5s/train/natural sound/8_10801__seg00.wav,16000,5
train,natural sound,natural sound/4_10454.wav,0,processed/forest_sound_16k_5s/train/natural sound/4_10454__seg00.wav,16000,5
train,natural sound,natural sound/6_10666.wav,0,processed/forest_sound_16k_5s/train/natural sound/6_10666__seg00.wav,16000,5
